Note ID,Created at,Alias,Tweet ID,User ID,Misleading,Helpful
1565131073566416896,1661991301325,outgoing-sunlight-cardinal,1564996814750638080,778763106289758208,true,
1565132012033277957,1661991525073,phenomenal-rose-rooster,1565090122898542592,939091,true,
1565133215018385411,1661991811887,cosmic-acorn-hornbill,1565085151318745089,1258722842,true,true
1565134375297388544,1661992088519,outgoing-sunlight-cardinal,1564744298800758786,,true,
1565137749014822912,1661992892875,incredible-fig-mallard,1565134611860148225,69986363,true,
1565141813689987072,1661993861970,outgoing-sunlight-cardinal,1565134600476688386,1557119980700930049,true,
1565146940622487552,1661995084325,smiley-moon-finch,1563906809781538819,193762837,true,
1565166186807050240,1661999672974,extraordinary-sun-eagle,1565139540834222080,343041182,true,
1565167051546644480,1661999879143,,,,,
1565167757506772992,1662000047457,comical-nutmeg-mallard,1565065335803240449,1344356576786866176,true,
1565168490868121600,1662000222328,,,,,
1565172535934828544,1662001186722,astonishing-wind-goldfinch,1564959538700324864,1201670995435646976,true,
1565174769120694272,1662001719156,efficient-park-pigeon,,,,
1565183281905238016,1662003748763,poetic-rose-rooster,1564966072905830400,17995040,true,
1565194267844218882,1662006368015,spunky-seashore-gull,1565139542000246784,343041182,true,
1565200593584812032,1662007876190,contemplative-nectarine-skylark,1565139542000246784,343041182,true,
1565312384717099009,1662034529271,,,,,
1565317490577637376,1662035746603,,,,,
1565321015588229120,1662036587032,cosmic-acorn-hornbill,1565076289740046338,1138519199289085952,true,
1565321997948784645,1662036821245,,,,,
1565328769321033728,1662038435665,,,,,
1565337299218378752,1662040469351,funny-hazelnut-macaw,1565156534371352576,956173025409343488,true,
1565338049180942338,1662040648157,,,,,
1565338566447706113,1662040771483,,,,,
1565339149116526592,1662040910402,amusing-pomegranate-hornbill,1565073990410031107,55192727,true,true
1565341923056857089,1662041571760,fabulous-beach-parrot,1565041582671290376,1268032640042414080,true,
1565342401660874757,1662041685869,amusing-pomegranate-hornbill,1564653136933003264,1243560408025198593,true,
1565342587858219014,1662041730263,amusing-pomegranate-hornbill,1564652800893718531,256159524,true,
1565348149559828482,1662043056274,amusing-pomegranate-hornbill,1565065335803240449,1344356576786866176,true,true
1565365221547556871,1662047126552,poetic-eucalyptus-quail,1565149594438221826,746884292689571840,true,
1565367515240341506,1662047673411,comical-nutmeg-mallard,1565134611860148225,69986363,false,
1565371883545133057,1662048714896,magnificent-wood-magpie,1565139542000246784,343041182,true,false
1565373317661528071,1662049056818,noble-olive-hummingbird,1565134600476688386,1557119980700930049,false,
1565373482602463232,1662049096140,sublime-mango-cormorant,1565139542000246784,343041182,true,
1565375155962089480,1662049495102,goodhearted-rainforest-penguin,1565060244962779137,27493883,true,true
1565376974167629825,1662049928596,polite-lemon-eagle,1564972034190368778,914815520842616834,true,
1565377064223522819,1662049950067,,,,,
1565377275713015810,1662050000489,sublime-mango-cormorant,1564959538700324864,1201670995435646976,true,
1565379088126181382,1662050432602,goodhearted-rainforest-penguin,1565105793665585153,27493883,true,
1565389129529102337,1662052826659,,,,,
1565391761383489537,1662053454142,hopeful-elm-swan,1565018579728302081,1558263729913053192,true,
1565403260554559488,1662056195759,courageous-mulberry-falcon,1565392269859078144,759251,true,
1565414201715220483,1662058804335,astonishing-lake-hummingbird,1565397626018750464,69022849,true,
1565415159148908544,1662059032605,goodhearted-harvest-rooster,1565397626018750464,69022849,true,
